,Gender,Height,Weight,Unit
0,Male,249.0,241.893563180437,sm
1,male,175.0,162.3104725213,sm
2,,188.0,212.7408555565,sm
3,Male,,220.042470303077,sm
4,Male,247.0,206.349800623871,sm
5,Male,171.0,152.212155757083,sm
6,Male,175.0,183.927888604031,sm
7,Male,174.0,167.971110489509,sm
8,Male,210.0,175.92944039571,sm
9,Male,161.0,156.399676387112,sm
10,Male,181.0,186.604925560358,sm
11,Male,182.0,213.741169489411,sm
12,Male,165.0,167.127461073476,sm
13,,176.0,189.446181386738,sm
14,male,176.0,186.434168021239,sm
15,Male,208.0,172.186930058117,sm
16,male,184.0,196.028506330482,sm
17,Male,,172.88347020878,sm
18,Male,,185.98395757313,sm
19,male,173.0,182.426648013226,sm
20,Male,173.0,174.115929081393,sm
21,Male,176.0,197.73142161472,sm
22,male,,149.173566007975,sm
23,male,191.0,228.761780615196,sm
24,Male,172.0,162.006651848287,sm
25,Male,,192.343976579187,sm
26,male,231.0,184.435174408406,sm
27,Male,210.0,206.828189420354,sm
28,Male,171.0,175.213922399227,sm
29,Male,174.0,154.342638925955,sm
30,male,174.0,187.506843155807,sm
31,Male,188.0,212.910225325521,sm
32,Male,,195.032243233835,sm
33,male,176.0,205.183621341371,sm
34,Male,177.0,204.164125484101,sm
35,male,179.0,192.903515074649,sm
36,Male,175.0,197.488242598925,sm
37,Male,171.0,183.810973232751,sm
38,male,167.0,163.851824878622,sm
39,Male,,163.108017147583,sm
40,Male,206.0,172.135597406825,sm
41,male,183.0,194.045404898059,sm
42,Male,166.0,168.617746204292,sm
43,male,223.0,161.193432596622,sm
44,Male,225.0,164.660277264007,sm
45,,248.0,188.922303151274,sm
46,Male,173.0,187.060552163801,sm
47,Male,183.0,209.070863390252,sm
48,male,245.0,192.014335412005,sm
49,male,185.0,211.34249681964,sm
50,male,165.0,165.61162618225,sm
51,male,244.0,201.071918099568,sm
52,Male,236.0,173.423960346601,sm
53,Male,,181.407679285937,sm
54,male,170.0,169.737707400252,sm
55,male,169.0,163.309528309674,sm
56,male,174.0,189.710209942456,sm
57,male,180.0,192.124847346168,sm
58,male,,198.1984641076,sm
59,Male,,209.526499837126,sm
60,Male,,198.759792659859,sm
61,Male,177.0,198.079523654438,sm
62,Male,,195.290612189727,sm
63,Male,201.0,164.943302997003,sm
64,male,,179.863902339297,sm
65,Male,,155.250420694049,sm
66,Male,173.0,184.519391248574,sm
67,,,220.678041465283,sm
68,,211.0,183.31265530722,sm
69,male,214.0,196.451312291183,sm
70,male,176.0,184.595608300273,sm
71,Male,179.0,207.532838518544,sm
72,male,,177.200928752348,sm
73,,205.0,163.108002209381,sm
74,Male,,216.218230112735,sm
75,Male,227.0,204.655493822323,sm
76,Male,216.0,200.920571219495,sm
77,male,184.0,220.901769881142,sm
78,Male,169.0,196.449860340782,sm
79,Male,168.0,168.640810039015,sm
80,Male,172.0,181.432713008126,sm
81,Male,173.0,198.658673326418,sm
82,male,228.0,237.916735863185,sm
83,Male,,173.041255909233,sm
84,Male,168.0,160.683916639879,sm
85,male,218.0,188.602919070666,sm
86,male,244.0,208.345694035109,sm
87,male,175.0,193.435118452271,sm
88,Male,204.0,174.10969379062,sm
89,Male,,197.368589249335,sm
90,Male,,201.620666747742,sm
91,,166.0,181.011973240364,sm
92,Male,212.0,182.12248597866,sm
93,Male,,177.549263423371,sm
94,Male,170.0,164.974580682475,sm
95,Male,,165.717112190107,sm
96,Male,,193.094163543063,sm
97,Male,,180.683886970857,sm
98,Male,169.0,172.773722928412,sm
99,Male,222.0,177.470616229738,sm
100,male,178.0,200.818737313254,sm
101,Male,170.0,167.739775344302,sm
102,Male,,154.395624779233,sm
103,male,174.0,177.984728603887,sm
104,Male,178.0,183.93885695678,sm
105,Male,214.0,179.2047820686,sm
106,Male,172.0,158.567987385418,sm
107,Male,,166.503531642942,sm
108,Male,176.0,171.983677611956,sm
109,Male,244.0,174.36418237859,sm
110,,176.0,187.745351863374,sm
111,male,,201.48796238061,sm
112,,182.0,204.927012136803,sm
113,Male,215.0,178.685546470181,sm
114,male,223.0,164.014427741951,sm
115,male,239.0,223.270004412371,sm
116,Male,,202.958306269835,sm
117,male,,189.391785609949,sm
118,Male,172.0,178.170555578466,sm
119,Male,182.0,223.299335239803,sm
120,Male,245.0,167.028706658323,sm
121,male,175.0,180.46868201187,sm
122,Male,170.0,164.439145622362,sm
123,male,,149.969618421042,sm
124,male,,192.910266551722,sm
125,male,214.0,201.883998700574,sm
126,male,172.0,179.868025984495,sm
127,male,180.0,196.467724673936,sm
128,Male,176.0,187.551649491386,sm
129,male,,171.69315968571,sm
130,Male,171.0,191.699604784328,sm
131,Male,167.0,165.850647784905,sm
132,male,241.0,185.662741323862,sm
133,male,174.0,178.281800729884,sm
134,Male,227.0,150.979051250134,sm
135,male,,209.929323430504,sm
136,Male,,174.157804341493,sm
137,male,174.0,179.878977102334,sm
138,male,,167.747141247633,sm
139,Male,173.0,183.044660372103,sm
140,male,175.0,169.556820782151,sm
141,Male,242.0,173.431672660432,sm
142,Male,168.0,180.889554609418,sm
143,,211.0,183.508932854723,sm
144,Male,176.0,205.977910165675,sm
145,Male,179.0,183.759845192649,sm
146,male,181.0,201.954495466668,sm
147,Male,216.0,216.120094736912,sm
148,male,168.0,159.390323744187,sm
149,Male,184.0,210.336424661861,sm
150,male,,178.618350159953,sm
151,Male,166.0,146.739797635802,sm
152,,246.0,195.937014974314,sm
153,Male,248.0,170.175853813004,sm
154,Male,,169.654054121188,sm
155,Male,233.0,198.378693643572,sm
156,Male,175.0,179.907716915983,sm
157,Male,157.0,147.263686501559,sm
158,Male,174.0,176.984251121287,sm
159,Male,166.0,185.467788373205,sm
160,Male,163.0,177.49380233889,sm
161,Male,246.0,169.827477419625,sm
162,Male,184.0,198.581698249799,sm
163,Male,171.0,203.350339274846,sm
164,Male,,193.217672687431,sm
165,male,165.0,178.134945178843,sm
166,Male,168.0,162.77958340469,sm
167,Male,172.0,159.286510598869,sm
168,male,166.0,172.114311951227,sm
169,male,,201.837042594883,sm
170,Male,,170.352329550626,sm
171,Male,,205.389760708631,sm
172,Male,173.0,169.787768075943,sm
173,Male,183.0,200.437310528735,sm
174,male,168.0,178.588954037204,sm
175,male,169.0,168.014029738329,sm
176,Male,172.0,177.766425839946,sm
177,Male,173.0,193.277623999542,sm
178,male,165.0,162.379540639612,sm
179,male,171.0,183.383824391458,sm
180,Male,,181.056095285359,sm
181,male,177.0,210.871798957101,sm
182,Male,169.0,165.568499073011,sm
183,Male,,196.148449846229,sm
184,male,183.0,202.046425151919,sm
185,male,173.0,170.413602496365,sm
186,male,178.0,201.948085296608,sm
187,male,,193.386984552842,sm
188,male,228.0,179.855689615225,sm
189,Male,170.0,156.489934998191,sm
190,male,195.0,235.035418820022,sm
191,male,184.0,230.560534959742,sm
192,male,177.0,203.895654986365,sm
193,Male,185.0,218.216396639014,sm
194,Male,184.0,222.667177921523,sm
195,Male,,208.474865890573,sm
196,male,171.0,180.779780013772,sm
197,Male,,231.92474850911,sm
198,male,,170.593858104457,sm
199,Male,181.0,188.271456288347,sm
200,Male,,196.061529163376,sm
201,male,183.0,214.603584170431,sm
202,Male,191.0,224.12427132956,sm
203,male,164.0,158.579397323387,sm
204,Male,243.0,166.501114745286,sm
205,Male,223.0,160.140615622405,sm
206,male,172.0,176.172634254583,sm
207,Male,167.0,174.485294666451,sm
208,Male,180.0,193.906498798923,sm
209,Male,,186.991606706801,sm
210,Male,,173.595796099507,sm
211,male,179.0,193.346560303991,sm
212,Male,184.0,208.436509038226,sm
213,male,208.0,206.032977800797,sm
214,,233.0,172.57523095707,sm
215,Male,,232.63540284736,sm
216,male,,177.24014549544,sm
217,Male,,175.646690214202,sm
218,Male,,212.626102288605,sm
219,male,248.0,166.969204009677,sm
220,Male,173.0,196.414415275124,sm
221,Male,170.0,165.431242225646,sm
222,male,170.0,176.565818557689,sm
223,Male,172.0,174.65203471581,sm
224,male,,195.237529301091,sm
225,Male,,205.684438396274,sm
226,Male,207.0,158.34144236048,sm
227,,172.0,169.081008273884,sm
228,Male,,135.655875865835,sm
229,Male,241.0,218.157469450706,sm
230,Male,,155.899541329016,sm
231,,183.0,201.528177430467,sm
232,male,238.0,235.926060648678,sm
233,Male,182.0,195.392617577504,sm
234,male,171.0,176.636163567362,sm
235,male,179.0,198.460248600108,sm
236,Male,177.0,185.716910023673,sm
237,Male,173.0,177.347779818472,sm
238,male,230.0,215.759703523821,sm
239,Male,,187.02242030157,sm
240,Male,217.0,171.587884316854,sm
241,,169.0,172.839809078093,sm
242,Male,171.0,168.280286893893,sm
243,Male,200.0,163.82048892775,sm
244,Male,,190.023434180521,sm
245,Male,,156.869951668729,sm
246,male,166.0,172.606482559614,sm
247,male,212.0,169.063982994918,sm
248,Male,187.0,231.374508117238,sm
249,male,182.0,207.250476751691,sm
250,Male,172.0,172.152772178008,sm
251,Male,173.0,199.827758022834,sm
252,Male,,168.090412215803,sm
253,Male,,197.819614833288,sm
254,Male,176.0,196.892315040706,sm
255,male,174.0,180.221780102342,sm
256,Male,,189.134012435934,sm
257,male,162.0,158.422717319974,sm
258,,181.0,208.922682655891,sm
259,Male,168.0,187.141119453372,sm
260,Male,165.0,157.582431535246,sm
261,male,173.0,181.644444983884,sm
262,male,,204.746678174754,sm
263,Male,189.0,231.130189759308,sm
264,Male,176.0,186.258429614423,sm
265,male,165.0,181.09386963888,sm
266,,229.0,198.920979667801,sm
267,,180.0,203.370463215939,sm
268,Male,156.0,161.028752141872,sm
269,Male,174.0,189.806681842181,sm
270,Male,183.0,200.202828506602,sm
271,Male,184.0,221.862650308484,sm
272,Male,181.0,214.060148220865,sm
273,male,184.0,201.70142161741,sm
274,Male,172.0,187.187093632233,sm
275,Male,184.0,196.527466895855,sm
276,male,159.0,151.720703729313,sm
277,male,,167.297530251137,sm
278,Male,243.0,198.843695964623,sm
279,Male,222.0,178.789547981921,sm
280,Male,218.0,193.539252115985,sm
281,Male,222.0,197.737905022318,sm
282,male,,184.461811520982,sm
283,male,169.0,155.194771686925,sm
284,,169.0,160.991989871194,sm
285,Male,,189.084461735075,sm
286,Male,179.0,172.985777146208,sm
287,Male,176.0,195.895256857188,sm
288,Male,180.0,215.74645530523,sm
289,Male,166.0,166.707373059357,sm
290,Male,190.0,239.464342902696,sm
291,Male,181.0,184.27924583305,sm
292,Male,176.0,199.983890906512,sm
293,Male,,191.412231132701,sm
294,male,164.0,169.109401417791,sm
295,male,,194.744522494038,sm
296,Male,172.0,183.266533117893,sm
297,Male,220.0,210.369908709756,sm
298,Male,,198.042483889936,sm
299,male,170.0,172.664090375104,sm
300,Male,177.0,197.070856157865,sm
301,Male,214.0,190.505810039573,sm
302,Male,208.0,184.555483105293,sm
303,,174.0,179.929816647941,sm
304,male,,159.50321976539,sm
305,male,178.0,197.884507071155,sm
306,Male,249.0,217.269605198307,sm
307,Male,,187.907425986628,sm
308,male,166.0,176.861684237851,sm
309,,172.0,185.148202101777,sm
310,,189.0,223.308040304474,sm
311,Male,181.0,206.942981776074,sm
312,Male,232.0,171.016940600979,sm
313,Male,,175.222847965396,sm
314,Male,171.0,173.310395551927,sm
315,Male,175.0,181.125973501963,sm
316,Male,182.0,202.609008338003,sm
317,Male,176.0,199.850920048803,sm
318,,235.0,223.514722344292,sm
319,Male,176.0,219.261706666844,sm
320,male,248.0,211.216080923481,sm
321,male,,200.798982967421,sm
322,Male,176.0,208.809775337563,sm
323,male,166.0,161.420081658509,sm
324,male,221.0,207.835944561795,sm
325,Male,212.0,180.831237755497,sm
326,Male,174.0,176.815476209732,sm
327,male,176.0,194.603768502719,sm
328,male,167.0,163.008431653289,sm
329,,,173.270657154824,sm
330,Male,188.0,215.620035427178,sm
331,Male,181.0,210.134529042031,sm
332,male,169.0,185.042324084993,sm
333,Male,182.0,187.965355359453,sm
334,Male,177.0,188.181124848229,sm
335,,170.0,179.542017143198,sm
336,male,177.0,211.71842896173,sm
337,Male,179.0,197.692142083456,sm
338,Male,175.0,186.287991990979,sm
339,,228.0,166.10607243739,sm
340,male,180.0,188.811769976897,sm
341,Male,164.0,161.378773212037,sm
342,male,177.0,193.476258831235,sm
343,Male,182.0,189.282246099829,sm
344,male,174.0,207.784924645001,sm
345,Male,180.0,199.323094259304,sm
346,male,181.0,209.858256604748,sm
347,Male,232.0,180.175472763871,sm
348,Male,183.0,196.214414481383,sm
349,Male,176.0,189.438840351539,sm
350,Male,168.0,165.514607433147,sm
351,Male,171.0,182.39433469242,sm
352,male,180.0,189.557637460086,sm
353,Male,,189.625914076302,sm
354,Male,171.0,170.191325429211,sm
355,Male,,216.097454719831,sm
356,male,209.0,177.067774350773,sm
357,,,196.051188755039,sm
358,Male,170.0,167.700496231312,sm
359,Male,,179.607870051102,sm
360,male,186.0,220.661405093753,sm
361,male,171.0,164.295241252612,sm
362,male,202.0,156.54478634954,sm
363,male,,183.681029038066,sm
364,Male,172.0,170.305493490476,sm
365,Male,169.0,168.627263912841,sm
366,Male,,209.637974489395,sm
367,male,202.0,195.34602697044,sm
368,Male,,194.322601360166,sm
369,male,,219.367916747189,sm
370,,182.0,205.161748286445,sm
371,Male,172.0,178.882633665742,sm
372,Male,242.0,181.724931465833,sm
373,male,174.0,203.560333836071,sm
374,Male,,165.155898683434,sm
375,Male,175.0,197.931429550253,sm
376,,171.0,173.284033013291,sm
377,Male,,183.947788899966,sm
378,Male,167.0,139.5340469401,sm
379,,,160.188531344114,sm
380,male,168.0,163.60400219191,sm
381,Male,170.0,193.955107443761,sm
382,male,170.0,189.893342494401,sm
383,Male,180.0,184.223932043739,sm
384,male,228.0,190.795542169576,sm
385,Male,,188.200679380904,sm
386,Male,192.0,226.207779869446,sm
387,Male,179.0,197.879373104868,sm
388,Male,245.0,190.51348690364,sm
389,Male,216.0,176.24658343627,sm
390,male,165.0,177.727094498411,sm
391,Male,167.0,173.691592194197,sm
392,,176.0,210.463687540605,sm
393,,167.0,170.100563318173,sm
394,Male,207.0,173.459891805983,sm
395,Male,176.0,184.936690322645,sm
396,Male,173.0,194.286945947274,sm
